season,player_name,age,team,games,minutes_per_game,fg,fga,fg_pct,three_p,three_pa,three_pct,two_p,two_pa,two_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
2019-20,Aaron Gordon,24.0,ORL,62,32.5,5.4,12.4,0.437,1.2,3.8,0.308,4.2,8.600000000000001,0.48837209302325574,0.48387096774193544,2.4,3.6,0.674,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2.0,14.4
2019-20,Aaron Holiday,23.0,IND,66,24.5,3.5,8.5,0.414,1.3,3.3,0.394,2.2,5.2,0.4230769230769231,0.4882352941176471,1.1,1.3,0.851,0.3,2.0,2.4,3.4,0.8,0.2,1.3,1.8,9.5
2019-20,Abdel Nader,26.0,OKC,55,15.8,2.2,4.8,0.468,0.9,2.3,0.375,1.3000000000000003,2.5,0.5200000000000001,0.5520833333333335,0.9,1.2,0.773,0.3,1.6,1.8,0.7,0.4,0.4,0.8,1.4,6.3
2019-20,Adam Mokoka,21.0,CHI,11,10.2,1.1,2.5,0.429,0.5,1.4,0.4,0.6000000000000001,1.1,0.5454545454545455,0.54,0.2,0.4,0.5,0.6,0.3,0.9,0.4,0.4,0.0,0.2,1.5,2.9
2019-20,Admiral Schofield,23.0,WAS,33,11.2,1.1,2.8,0.38,0.6,1.8,0.311,0.5000000000000001,0.9999999999999998,0.5000000000000002,0.5000000000000001,0.3,0.5,0.667,0.2,1.2,1.4,0.5,0.2,0.1,0.2,1.5,3.0
2019-20,Al Horford,34.0,PHI,67,30.2,4.8,10.6,0.45,1.5,4.2,0.35,3.3,6.3999999999999995,0.515625,0.5235849056603774,0.9,1.2,0.763,1.5,5.3,6.8,4.0,0.8,0.9,1.2,2.1,11.9
2019-20,Al-Farouq Aminu,29.0,ORL,18,21.1,1.4,4.8,0.291,0.5,2.0,0.25,0.8999999999999999,2.8,0.3214285714285714,0.34375,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
2019-20,Alec Burks,28.0,PHI,66,26.6,4.9,11.6,0.418,1.8,4.6,0.385,3.1000000000000005,7.0,0.44285714285714295,0.5000000000000001,3.6,4.0,0.887,0.7,3.5,4.3,2.9,0.9,0.3,1.4,1.9,15.0
2019-20,Alen Smailagic,19.0,GSW,14,9.9,1.4,2.9,0.5,0.2,0.9,0.231,1.2,2.0,0.6,0.5172413793103449,1.1,1.4,0.842,0.7,1.2,1.9,0.9,0.2,0.3,0.8,1.0,4.2
2019-20,Alex Caruso,26.0,LAL,64,18.4,1.9,4.5,0.412,0.6,1.9,0.333,1.2999999999999998,2.6,0.4999999999999999,0.4888888888888888,1.1,1.5,0.734,0.3,1.7,1.9,1.9,1.1,0.3,0.8,1.5,5.5
2019-20,Alex Len,27.0,SAC,55,17.6,3.2,5.8,0.555,0.3,1.1,0.271,2.9000000000000004,4.699999999999999,0.6170212765957448,0.5775862068965517,1.2,1.9,0.648,1.8,4.0,5.8,0.9,0.4,0.9,1.0,2.3,8.0
